INCOME,SEX,MARITAL.STATUS,AGE,EDUCATION,OCCUPATION,AREA,DUAL.INCOMES,HOUSEHOLD.SIZE,UNDER18,HOUSEHOLDER,HOME.TYPE,ETHNIC.CLASS,LANGUAGE
[50.000-75.000),F,Married,25-34,1 to 3 years of college,Clerical/Service Worker,10+ years,Yes,Three,One,Rent,House,Hispanic,English
[30.000-40.000),F,Single,25-34,1 to 3 years of college,Professional/Managerial,1-3 years,Not Married,One,,Rent,Condominium,White,English
[25.000-30.000),F,Divorced,25-34,1 to 3 years of college,Homemaker,,Not Married,Five,Three,Rent,House,White,English
[75.000-,F,Married,25-34,Grad Study,Professional/Managerial,1-3 years,Yes,Two,,Own,House,Asian,English
-10.000),F,Married,45-54,1 to 3 years of college,Professional/Managerial,,Yes,One,,Rent,,White,English
[20.000-25.000),F,Single,18-24,Graduated High Scool,Homemaker,4-6 years,Not Married,Two,One,Rent,Apartment,White,English
[25.000-30.000),F,Single,35-44,1 to 3 years of college,Clerical/Service Worker,10+ years,Not Married,Two,,Rent,Apartment,White,English
[50.000-75.000),F,Married,25-34,1 to 3 years of college,Homemaker,10+ years,No,Three,One,Own,House,White,English
[20.000-25.000),M,Divorced,18-24,Graduated High Scool,Professional/Managerial,,Not Married,Two,,Rent,Apartment,White,English
[20.000-25.000),M,Married,25-34,Graduated High Scool,Clerical/Service Worker,7-10 years,Yes,Four,One,Own,House,Hispanic,Spanish
[30.000-40.000),M,Single,35-44,College graduate,Professional/Managerial,10+ years,Not Married,One,,Rent,Apartment,White,
[15.000-20.000),M,Single,25-34,College graduate,Sales Worker,4-6 years,Not Married,Five,,Own,House,Asian,English
[75.000-,F,Married,35-44,1 to 3 years of college,Professional/Managerial,10+ years,Yes,Two,,Own,House,White,English
[30.000-40.000),M,Single,18-24,Graduated High Scool,"Student, HS or College",1-3 years,Not Married,Four,One,Own,House,Hispanic,Spanish
[50.000-75.000),M,Single,55-64,Grad Study,Professional/Managerial,10+ years,Not Married,One,,Own,Condominium,White,
[25.000-30.000),F,Married,65+,1 to 3 years of college,Retired,,Not Married,Two,,Own,House,White,English
[75.000-,M,Single,18-24,Grades 9 to 11,"Student, HS or College",10+ years,Not Married,Four,Two,Family,House,Black,English
[50.000-75.000),F,Married,25-34,Graduated High Scool,Professional/Managerial,,Yes,Four,Two,Rent,Apartment,Asian,English
[50.000-75.000),F,Married,55-64,College graduate,Retired,10+ years,No,Three,,Own,House,White,English
[40.000-50.000),F,Divorced,25-34,Grad Study,Professional/Managerial,10+ years,Not Married,Two,,Own,Mobile Home,Hispanic,English
-10.000),M,Divorced,18-24,1 to 3 years of college,"Student, HS or College",1-3 years,Not Married,Three,,Rent,Apartment,Black,English
[40.000-50.000),F,Married,65+,Graduated High Scool,Retired,10+ years,No,Two,,Own,House,White,English
[40.000-50.000),M,Divorced,35-44,Grad Study,Retired,10+ years,Not Married,One,,Own,House,White,English
-10.000),F,Single,18-24,1 to 3 years of college,Clerical/Service Worker,7-10 years,Not Married,Three,,Rent,Apartment,American Indian,English
[10.000-15.000),F,Together,25-34,1 to 3 years of college,"Student, HS or College",10+ years,Not Married,Three,,Rent,Apartment,Black,English
[25.000-30.000),M,Divorced,35-44,1 to 3 years of college,Military,-1 year,Not Married,One,,,Other,White,English
[25.000-30.000),F,Married,35-44,Grad Study,Professional/Managerial,7-10 years,Yes,Four,Two,Own,House,White,English
[10.000-15.000),M,Single,55-64,1 to 3 years of college,Professional/Managerial,10+ years,Not Married,One,,Rent,Apartment,White,English
[30.000-40.000),F,Married,55-64,Grades 9 to 11,Retired,10+ years,Not Married,Two,,Own,House,American Indian,English
-10.000),F,Single,14-17,Grade 8 or less,"Student, HS or College",10+ years,Not Married,Three,Two,Family,Other,Black,English
[25.000-30.000),F,Married,35-44,1 to 3 years of college,Homemaker,10+ years,No,Three,One,Own,House,White,English
[30.000-40.000),M,Single,35-44,Grad Study,Clerical/Service Worker,,Not Married,Two,,Own,House,White,English
[20.000-25.000),M,Married,65+,Graduated High Scool,Retired,10+ years,No,Two,,Own,House,White,English
[50.000-75.000),F,Married,35-44,College graduate,Professional/Managerial,,Yes,Five,Three,Own,House,White,English
[50.000-75.000),M,Married,25-34,1 to 3 years of college,Factory Worker/Laborer/Driver,10+ years,Yes,Four,Two,Own,House,White,English
-10.000),F,Single,18-24,Grades 9 to 11,Unemployed,,Not Married,,,Rent,Apartment,White,English
[50.000-75.000),F,Married,55-64,College graduate,Homemaker,10+ years,No,Two,,Own,House,White,English
[75.000-,F,Divorced,35-44,Grad Study,Professional/Managerial,1-3 years,Not Married,Three,One,Own,House,White,English
-10.000),F,Single,14-17,Grades 9 to 11,"Student, HS or College",7-10 years,Not Married,Three,Two,Family,House,Black,English
[25.000-30.000),F,Single,25-34,1 to 3 years of college,Professional/Managerial,10+ years,Not Married,One,One,Own,House,White,English
[20.000-25.000),F,Together,45-54,College graduate,Professional/Managerial,7-10 years,Yes,Four,One,Own,House,White,English
[40.000-50.000),F,,18-24,Graduated High Scool,"Student, HS or College",,Not Married,Three,One,Family,House,Black,English
[75.000-,F,Married,45-54,College graduate,Professional/Managerial,10+ years,Yes,Seven,Three,Own,House,White,English
[15.000-20.000),F,Single,18-24,College graduate,Unemployed,1-3 years,Not Married,Three,,Rent,Apartment,White,English
[10.000-15.000),F,Married,25-34,Graduated High Scool,Clerical/Service Worker,10+ years,Yes,Five,Three,Rent,Apartment,White,English
[50.000-75.000),F,Married,35-44,College graduate,Professional/Managerial,1-3 years,Yes,Two,,Own,House,White,English
-10.000),M,Single,14-17,Grades 9 to 11,"Student, HS or College",10+ years,Not Married,Five,Three,Family,House,White,English
-10.000),M,Single,14-17,Grades 9 to 11,"Student, HS or College",1-3 years,Not Married,Four,Two,Family,House,White,English
[25.000-30.000),M,Single,25-34,1 to 3 years of college,Clerical/Service Worker,10+ years,Not Married,Four,,Rent,House,Pacific Islander,English
[30.000-40.000),M,Married,35-44,Graduated High Scool,Factory Worker/Laborer/Driver,4-6 years,Yes,Four,Two,Rent,Apartment,Hispanic,Spanish
-10.000),F,Single,14-17,Grades 9 to 11,"Student, HS or College",4-6 years,Not Married,Four,Two,Family,House,Black,English
[10.000-15.000),M,Single,35-44,1 to 3 years of college,Factory Worker/Laborer/Driver,10+ years,Not Married,One,,Rent,Apartment,White,English
[10.000-15.000),M,Single,25-34,Grades 9 to 11,Military,1-3 years,Not Married,One,,Rent,Apartment,Black,English
[30.000-40.000),M,Married,25-34,1 to 3 years of college,Clerical/Service Worker,10+ years,Yes,Two,,Rent,Condominium,American Indian,English
-10.000),F,Single,14-17,Grades 9 to 11,"Student, HS or College",10+ years,Not Married,Two,One,Family,Apartment,Hispanic,English
[30.000-40.000),F,Together,35-44,Graduated High Scool,Clerical/Service Worker,10+ years,Not Married,Two,,Rent,Apartment,White,English
[25.000-30.000),F,Married,25-34,1 to 3 years of college,Factory Worker/Laborer/Driver,-1 year,Yes,Three,One,Rent,House,White,English
[50.000-75.000),F,Married,55-64,Grad Study,Retired,10+ years,Yes,Two,,Own,House,White,English
[75.000-,M,Married,45-54,Graduated High Scool,Professional/Managerial,,Yes,Three,One,Own,House,White,English
[75.000-,M,Married,35-44,Grad Study,Professional/Managerial,10+ years,Yes,Two,,Own,House,White,English
[25.000-30.000),F,Divorced,25-34,College graduate,Professional/Managerial,10+ years,Not Married,Four,Two,Rent,Apartment,Black,English
[25.000-30.000),F,Married,25-34,Graduated High Scool,Unemployed,7-10 years,No,Four,Two,Rent,Apartment,Hispanic,English
[15.000-20.000),F,Single,18-24,1 to 3 years of college,Sales Worker,7-10 years,Not Married,Three,,Rent,Apartment,Hispanic,Spanish
[30.000-40.000),F,Married,35-44,Graduated High Scool,Clerical/Service Worker,,Yes,Five,Three,Own,House,Hispanic,English
[50.000-75.000),F,Married,55-64,College graduate,Homemaker,10+ years,No,Two,,Own,Other,White,English
[75.000-,F,Married,35-44,1 to 3 years of college,Homemaker,10+ years,No,Five,Three,Own,House,White,English
-10.000),F,Married,45-54,Grade 8 or less,Unemployed,10+ years,Yes,Four,,Own,House,Hispanic,English
-10.000),F,Single,18-24,1 to 3 years of college,Clerical/Service Worker,4-6 years,Not Married,Four,,Rent,Apartment,White,English
-10.000),M,Divorced,35-44,Grad Study,Unemployed,1-3 years,Not Married,,,Rent,,White,English
[50.000-75.000),M,,18-24,Graduated High Scool,"Student, HS or College",10+ years,Not Married,Four,,Family,House,White,English
[20.000-25.000),F,Married,65+,Graduated High Scool,Retired,7-10 years,Yes,Two,,Own,House,White,English
[20.000-25.000),F,Single,25-34,1 to 3 years of college,Professional/Managerial,1-3 years,Not Married,Two,,Rent,Apartment,Black,English
[30.000-40.000),M,Married,18-24,Graduated High Scool,Sales Worker,10+ years,Yes,Two,,Own,House,Other,English
[20.000-25.000),M,Divorced,35-44,Grad Study,Sales Worker,10+ years,Not Married,Two,,Rent,Other,Other,English
[40.000-50.000),M,Single,25-34,Grad Study,Sales Worker,10+ years,Not Married,One,,Own,Condominium,White,English
-10.000),M,Together,18-24,Grades 9 to 11,,4-6 years,Not Married,Two,,Rent,Other,Hispanic,Spanish
-10.000),M,Divorced,18-24,Grade 8 or less,Military,,Not Married,Four,One,,,White,English
-10.000),F,Single,18-24,1 to 3 years of college,"Student, HS or College",10+ years,Not Married,Six,Three,Family,House,White,English
[50.000-75.000),M,Married,45-54,1 to 3 years of college,Professional/Managerial,10+ years,Yes,Six,Two,Own,House,Black,English
[50.000-75.000),M,Single,35-44,Grad Study,Professional/Managerial,1-3 years,Not Married,Three,,Rent,Apartment,White,English
[30.000-40.000),F,Married,25-34,College graduate,Professional/Managerial,7-10 years,Yes,Three,One,Rent,House,White,English
[25.000-30.000),F,Single,18-24,1 to 3 years of college,Professional/Managerial,10+ years,Not Married,One,,Rent,Other,White,English
-10.000),F,Single,14-17,Grade 8 or less,"Student, HS or College",,Not Married,Five,Two,Family,Condominium,Asian,English
[10.000-15.000),M,Single,35-44,Graduated High Scool,Military,1-3 years,Not Married,One,,,Other,White,
[50.000-75.000),F,Married,55-64,College graduate,Professional/Managerial,10+ years,No,Two,,Own,House,Asian,Other
[15.000-20.000),F,Widowed,65+,Graduated High Scool,Retired,10+ years,Not Married,One,,Own,House,White,English
[15.000-20.000),M,Single,25-34,1 to 3 years of college,Unemployed,10+ years,Not Married,Two,,Own,Apartment,White,English
-10.000),F,Single,18-24,Graduated High Scool,Clerical/Service Worker,10+ years,Not Married,Seven,Two,Own,House,Hispanic,English
[25.000-30.000),F,,25-34,1 to 3 years of college,Professional/Managerial,10+ years,Yes,Three,Two,Own,House,Black,English
[10.000-15.000),M,Single,25-34,Grad Study,Clerical/Service Worker,1-3 years,Not Married,One,,Rent,Apartment,White,English
[30.000-40.000),M,Single,45-54,Grad Study,Professional/Managerial,-1 year,Not Married,One,,Rent,Condominium,White,English
[10.000-15.000),M,Single,25-34,1 to 3 years of college,Military,1-3 years,Not Married,,,Family,Apartment,White,English
[50.000-75.000),F,Married,35-44,College graduate,Professional/Managerial,7-10 years,Yes,Two,One,Own,House,White,English
-10.000),F,Single,14-17,Grades 9 to 11,"Student, HS or College",,Not Married,Three,One,Family,House,White,English
-10.000),M,Single,14-17,Grades 9 to 11,Clerical/Service Worker,,Not Married,Three,Two,Own,House,White,English
[75.000-,F,Married,55-64,College graduate,Homemaker,10+ years,No,Two,,Own,House,White,English
[75.000-,M,Married,25-34,Grad Study,Professional/Managerial,10+ years,Yes,Two,,Own,House,White,English
[20.000-25.000),F,Divorced,35-44,Graduated High Scool,Clerical/Service Worker,10+ years,Not Married,One,,Rent,Apartment,White,English
[50.000-75.000),M,Married,35-44,Grad Study,Professional/Managerial,10+ years,Yes,Four,Two,Own,House,White,English
[30.000-40.000),M,Single,25-34,1 to 3 years of college,Factory Worker/Laborer/Driver,7-10 years,Not Married,One,,Rent,Apartment,Other,English
[40.000-50.000),F,Married,35-44,College graduate,Professional/Managerial,10+ years,Yes,Four,Two,Own,Condominium,White,English
[30.000-40.000),F,Single,25-34,College graduate,Professional/Managerial,7-10 years,Not Married,One,,Rent,Apartment,Hispanic,Spanish
[20.000-25.000),M,Single,25-34,College graduate,Professional/Managerial,7-10 years,Not Married,One,,Rent,Apartment,Hispanic,English
[50.000-75.000),F,Married,45-54,1 to 3 years of college,Professional/Managerial,10+ years,Yes,Two,,Rent,House,White,English
[40.000-50.000),F,Single,25-34,1 to 3 years of college,Clerical/Service Worker,10+ years,Not Married,Two,,Own,House,White,English
[20.000-25.000),M,Single,18-24,1 to 3 years of college,Factory Worker/Laborer/Driver,,Not Married,Two,,Rent,Apartment,Black,English
[20.000-25.000),F,Single,25-34,College graduate,Professional/Managerial,-1 year,Not Married,,,Rent,Apartment,White,English
[50.000-75.000),F,Single,18-24,1 to 3 years of college,Clerical/Service Worker,1-3 years,Not Married,Four,,Rent,Apartment,White,Spanish
-10.000),M,Single,14-17,Grades 9 to 11,"Student, HS or College",10+ years,Not Married,Five,Two,Family,House,White,English
[25.000-30.000),M,Married,65+,1 to 3 years of college,Retired,10+ years,No,Two,,Own,House,White,English
[50.000-75.000),F,Married,55-64,1 to 3 years of college,Homemaker,10+ years,No,Two,,Own,House,White,English
[20.000-25.000),F,Married,65+,College graduate,Professional/Managerial,10+ years,No,Four,,Own,House,White,English
[75.000-,M,Single,18-24,1 to 3 years of college,"Student, HS or College",10+ years,Not Married,Four,,Own,House,Hispanic,English
[40.000-50.000),F,Married,35-44,Grad Study,Homemaker,10+ years,No,Five,Three,Own,House,White,English
[75.000-,F,Single,18-24,Graduated High Scool,"Student, HS or College",10+ years,Not Married,Five,,Family,House,White,English
-10.000),M,Single,14-17,Grades 9 to 11,"Student, HS or College",4-6 years,Not Married,Three,One,Family,Apartment,Hispanic,English
[20.000-25.000),F,Single,25-34,College graduate,Professional/Managerial,10+ years,Not Married,Three,,Rent,House,White,English
-10.000),M,Single,18-24,1 to 3 years of college,Clerical/Service Worker,10+ years,Not Married,Three,Two,Rent,Apartment,White,English
[25.000-30.000),M,Single,25-34,Grad Study,Professional/Managerial,,Not Married,Two,,Rent,Condominium,White,
-10.000),M,Single,18-24,1 to 3 years of college,Clerical/Service Worker,10+ years,Not Married,Two,,Own,House,White,English
-10.000),M,Single,14-17,Grades 9 to 11,"Student, HS or College",10+ years,Not Married,Four,Two,Family,House,White,English
[50.000-75.000),F,Married,35-44,1 to 3 years of college,Sales Worker,,Yes,Four,One,Own,House,Black,English
[10.000-15.000),M,Single,18-24,1 to 3 years of college,Factory Worker/Laborer/Driver,,Not Married,Two,,Rent,Apartment,Hispanic,Spanish
-10.000),F,Single,18-24,1 to 3 years of college,"Student, HS or College",10+ years,Not Married,Four,,Rent,Other,White,English
[40.000-50.000),M,Single,18-24,Grades 9 to 11,"Student, HS or College",10+ years,Not Married,Seven,One,Family,House,Hispanic,Other
[50.000-75.000),M,Single,18-24,1 to 3 years of college,"Student, HS or College",10+ years,Not Married,Three,,Family,House,Asian,English
[50.000-75.000),F,Together,45-54,1 to 3 years of college,Professional/Managerial,10+ years,Yes,Three,One,Own,House,Hispanic,English
[10.000-15.000),M,Single,18-24,College graduate,Professional/Managerial,7-10 years,Not Married,Two,One,Rent,House,Hispanic,Spanish
[75.000-,F,Married,55-64,1 to 3 years of college,Clerical/Service Worker,10+ years,Yes,Three,,Own,House,White,English
[40.000-50.000),F,Married,35-44,College graduate,Homemaker,10+ years,No,Four,,Own,House,,English
[15.000-20.000),F,Divorced,25-34,1 to 3 years of college,Clerical/Service Worker,10+ years,Not Married,Three,Two,Own,Condominium,Hispanic,English
[75.000-,M,Married,55-64,College graduate,Professional/Managerial,10+ years,Yes,Two,,Own,House,Black,English
-10.000),M,Single,14-17,Grades 9 to 11,"Student, HS or College",10+ years,Not Married,Three,,Family,Apartment,White,English
[15.000-20.000),M,Single,18-24,Graduated High Scool,Sales Worker,,Not Married,Four,,Rent,House,Hispanic,English
-10.000),F,Single,18-24,Grades 9 to 11,Clerical/Service Worker,10+ years,Not Married,Three,One,Rent,Apartment,Asian,English
[30.000-40.000),M,Divorced,25-34,College graduate,Clerical/Service Worker,1-3 years,Not Married,One,,Rent,Apartment,White,English
[50.000-75.000),F,Married,45-54,College graduate,Professional/Managerial,10+ years,Yes,Two,,Rent,Apartment,White,English
[50.000-75.000),F,Single,55-64,1 to 3 years of college,Clerical/Service Worker,10+ years,Not Married,Two,,Own,House,White,English
-10.000),F,Single,14-17,Grades 9 to 11,"Student, HS or College",7-10 years,Not Married,Four,,Family,House,White,English
[50.000-75.000),F,Single,18-24,1 to 3 years of college,"Student, HS or College",7-10 years,Not Married,Five,,Family,House,American Indian,English
[15.000-20.000),M,Single,25-34,1 to 3 years of college,Sales Worker,10+ years,Not Married,One,,Rent,Apartment,White,English
[75.000-,M,Married,35-44,College graduate,Professional/Managerial,,Yes,Two,,Own,House,White,English
[50.000-75.000),F,Married,25-34,1 to 3 years of college,Clerical/Service Worker,10+ years,Yes,Three,One,Own,House,White,English
[20.000-25.000),F,Divorced,45-54,1 to 3 years of college,Clerical/Service Worker,,Not Married,Two,,Own,House,White,English
[50.000-75.000),F,Married,35-44,Grad Study,Homemaker,7-10 years,No,Five,Three,Own,House,White,Other
-10.000),F,Single,14-17,Grade 8 or less,"Student, HS or College",1-3 years,Not Married,Four,Two,Family,House,White,English
[15.000-20.000),M,Single,18-24,Graduated High Scool,Military,1-3 years,Not Married,Nine or more,One,Family,Apartment,Hispanic,Spanish
[75.000-,F,Together,35-44,College graduate,Professional/Managerial,10+ years,Not Married,Four,One,Own,House,White,English
[30.000-40.000),M,Single,25-34,Grad Study,Professional/Managerial,1-3 years,Not Married,One,,Rent,House,White,English
[50.000-75.000),F,Married,25-34,Grad Study,Professional/Managerial,10+ years,Yes,Five,Three,Own,House,White,English
[20.000-25.000),M,Married,25-34,Graduated High Scool,Military,-1 year,Yes,Three,One,Rent,Condominium,White,English
-10.000),F,Single,18-24,Graduated High Scool,Professional/Managerial,4-6 years,Not Married,Six,,Rent,Apartment,Pacific Islander,English
[15.000-20.000),M,Single,18-24,1 to 3 years of college,Factory Worker/Laborer/Driver,10+ years,Not Married,One,,Rent,Apartment,White,English
[20.000-25.000),F,Together,25-34,1 to 3 years of college,Sales Worker,10+ years,Not Married,Four,Three,Own,Condominium,Black,English
[50.000-75.000),M,Married,35-44,Grad Study,Professional/Managerial,1-3 years,Yes,Four,Two,Rent,Condominium,White,English
[30.000-40.000),M,Single,55-64,College graduate,Professional/Managerial,10+ years,Not Married,Two,,Own,House,White,English
[25.000-30.000),F,Married,25-34,1 to 3 years of college,Clerical/Service Worker,7-10 years,Yes,Two,,Rent,,White,English
[30.000-40.000),M,Married,25-34,Graduated High Scool,Professional/Managerial,10+ years,No,Four,Two,Own,House,White,English
[10.000-15.000),M,Married,65+,Grades 9 to 11,Retired,10+ years,No,Two,,Own,House,White,English
[30.000-40.000),M,Single,25-34,1 to 3 years of college,Professional/Managerial,4-6 years,Not Married,Two,,Rent,Apartment,Black,English
[50.000-75.000),F,Widowed,65+,,Retired,,Not Married,,,Own,House,Black,English
[30.000-40.000),M,Single,25-34,Grad Study,Professional/Managerial,-1 year,Not Married,One,,Rent,Apartment,White,English
[50.000-75.000),M,Married,55-64,Grad Study,Retired,10+ years,No,Two,,Own,,White,English
[50.000-75.000),M,Married,25-34,College graduate,Professional/Managerial,7-10 years,Yes,Two,,Rent,House,Asian,English
[30.000-40.000),M,Divorced,55-64,Graduated High Scool,Factory Worker/Laborer/Driver,4-6 years,Not Married,One,,,Apartment,Black,English
[40.000-50.000),M,Single,25-34,Grad Study,Professional/Managerial,10+ years,Not Married,One,,Own,Other,Pacific Islander,English
